atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town
2438700208,빌라,빌라,전세,2/4,20000,0,2억,55,49.58,남동향,24.08.07.,37.595641,126.964549,"전용15다세대주택,방2화장실1구조, 채광과통풍좋은주택,","['25년이상', '소형평수', '방두개']",,종로구 부암동
2437837311,빌라,빌라,매매,3/4,65000,0,"6억 5,000",105,76.41,동향,24.08.01.,37.59839,126.960883,"교통편리, 수리되어 내부깨끗","['25년이내', '방세개', '화장실두개', '고층']",,종로구 부암동
2437849153,일반원룸,원룸,월세,1/3,3000,83,"3,000",45,35.58,남향,24.08.02.,37.596619,126.964383,"신축급 깨끗한 분리형 원룸, 주차가능","['2년이내', '테라스', '1층', '세대분리']",,종로구 부암동
2437886432,빌라,빌라,전세,고/3,150000,0,15억,232,186.17,남향,24.08.02.,37.598226,126.963402,70 올수리 확트인전경 주차편리 복층다락 광화문인접,"['25년이상', '융자금없는', '올수리']",,종로구 부암동
2438817059,상가주택,상가주택,매매,5/B1,300000,0,30억,202,514.26,남서향,24.08.08.,37.596862,126.964033,부암대로변 상가주택,"['25년이내', '방네개이상', '화장실네개이상', '주차가능']",,종로구 부암동
2437593041,단독,단독/다가구,매매,2/-,195000,0,"19억 5,000",311,146.48,동향,24.07.31.,37.596592,126.960852,"부암동 도심 속 전원주택, 인왕산 아래 프라이빗한 단독주택 매매","['15년이내', '방세개', '화장실두개']",,종로구 부암동
2437272729,중소형사무실,사무실,월세,4/4,1000,60,"1,000",24,24.65,남서향,24.07.29.,37.598236,126.962357,"소형 사무실 추천, 광화문 15분 거리","['25년이상', '고층', '관리비10만원이하', '주차가능']",,종로구 부암동
2437260275,빌라,빌라,매매,2/4,53000,0,"5억 3,000",107,73.08,남서향,24.07.29.,37.599062,126.960922,접근성 좋고 내부 수리되어 있는 빌라,"['25년이내', '화장실두개', '방세개', '중층']",,종로구 부암동
2437191092,상가건물,건물,매매,5/-,78000,0,"7억 8,000",33,77.65,,24.07.29.,37.596496,126.963725,부암동 대로변 올근생 초소형 꼬마빌딩,['25년이내'],,종로구 부암동
2438836874,빌라,빌라,월세,5/5,5000,100,"5,000",166,39.6,북향,24.08.08.,37.595578,126.964066,"자하문터널인근, ALL수리예정, 풀옵션제공, 변신예정, 투룸","['25년이상', '융자금적은', '화장실한개']",,종로구 부암동
