atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town
2438575106,광화문스페이스본,오피스텔,월세,2/12,360,360,360,77,39.54,북향,24.08.06.,37.575158,126.968925,경복궁역 10분거리에 위치한 부티크호텔 디자인의 오피스텔.,"['25년이내', '역세권', '화장실한개']",201동,종로구 사직동
2438984890,광화문스페이스본,오피스텔,매매,5/12,40000,0,4억,77,39.54,동향,24.08.08.,37.575178,126.969071,실내깔끔하고 협의입주가능 편안한 동향,"['25년이내', '역세권', '화장실한개', '방한개']",202동,종로구 사직동
2438991399,광화문스페이스본(주상복합),아파트,매매,14/14,150000,0,15억,104,86.85,북향,24.08.08.,37.574313,126.969061,북악산과 인왕산전망이 시원하게 보이는 뷰입니다 협의입주가능,"['25년이내', '역세권', '탑층', '방세개']",105동,종로구 사직동
2438778888,광화문스페이스본(주상복합),아파트,전세,12/14,170000,0,17억,157,131.44,남서향,24.08.07.,37.574313,126.969061,화이트톤 올수리 최고급 키친바흐 주방 에어컨6대 공기청정 가전풀 빌트인,"['25년이내', '올수리', '테라스']",105동,종로구 사직동
2438370165,광화문스페이스본(주상복합),아파트,매매,10/14,165000,0,"16억 5,000",114,95.88,동향,24.08.05.,37.574651,126.969611,경복궁조망의 고급아파트 교통편리하고 살기좋아요,"['25년이내', '역세권', '방세개']",101동,종로구 사직동
2438375867,광화문스페이스본(주상복합),아파트,월세,10/14,50000,200,5억,114,95.88,동향,24.08.05.,37.574651,126.969611,경복궁조망의 고급아파트 교통편리하고 관리상태양호함,"['25년이내', '역세권', '방세개']",101동,종로구 사직동
2438559793,광화문스페이스본(주상복합),아파트,매매,12/14,153000,0,"15억 3,000",113,94.51,남향,24.08.06.,37.574686,126.96849,고층남향  관리잘된 채광좋은집   25.1월 입주,"['25년이내', '역세권', '방세개']",102동,종로구 사직동
2438562302,광화문스페이스본(주상복합),아파트,전세,5/14,140000,0,14억,176,146.92,동향,24.08.06.,37.574285,126.967997,,"['25년이내', '융자금없는', '역세권']",103동,종로구 사직동
2438912407,광화문스페이스본(주상복합),아파트,월세,저/14,55000,200,"5억 5,000",113,94.51,북향,24.08.08.,37.574651,126.969611,세종로성당이 바라보이는 아늑한집 생활편리한 도심아파트,"['25년이내', '역세권', '방세개']",101동,종로구 사직동
2438786545,광화문스페이스본(주상복합),아파트,매매,중/14,171000,0,"17억 1,000",145,121.37,북서향,24.08.07.,37.574313,126.969061,입주 협의 가능 매매. 전망있음. 광화문 역세권. 추천드립니다.,"['25년이내', '역세권', '대형평수', '방세개']",105동,종로구 사직동
2438583993,광화문스페이스본,오피스텔,월세,2/12,360,360,360,77,39.54,북향,24.08.06.,37.575178,126.969071,경복궁역 10분거리에 위치한 부티크호텔 디자인의 오피스텔.,"['25년이내', '역세권', '화장실한개']",202동,종로구 사직동
2438510110,광화문스페이스본,오피스텔,월세,3/12,360,360,360,77,39.54,북향,24.08.06.,37.575178,126.969071,경복궁역 10분거리에 위치한 부티크호텔 디자인의 오피스텔.,"['25년이내', '역세권', '화장실한개']",202동,종로구 사직동
2437392742,광화문스페이스본(주상복합),아파트,매매,5/14,157000,0,"15억 7,000",116,97.61,북향,24.07.30.,37.574313,126.969061,,"['25년이내', '역세권', '방세개']",105동,종로구 사직동
2437232908,중소형사무실,사무실,월세,2/3,1000,80,"1,000",26,26.4,남향,24.07.29.,37.574803,126.967447,"실8p, 양측에창있어서환하고 깨끗함, 냉난방 옵션 있음 경복궁역 도보7분","['25년이상', '융자금없는', '역세권', '중층']",,종로구 사직동
2437212474,광화문스페이스본(주상복합),아파트,매매,11/14,160000,0,16억,116,97.61,북향,24.07.29.,37.574313,126.969061,북악산 인와산 청와대가  보이는 전망좋은집  부분인테리어  협의입주,"['25년이내', '역세권', '방세개']",105동,종로구 사직동
2436964455,광화문스페이스본,오피스텔,매매,7/12,39500,0,"3억 9,500",77,39.54,동향,24.07.27.,37.575178,126.969071,내부수리하여  집상태 최상. 월세끼고,"['25년이내', '역세권', '화장실한개']",202동,종로구 사직동
2438584819,광화문스페이스본,오피스텔,매매,5/12,40000,0,4억,77,39.54,북향,24.08.06.,37.575158,126.968925,북향이고 채광 좋습니다,"['25년이내', '역세권', '방한개', '화장실한개']",201동,종로구 사직동
2438420509,광화문스페이스본,오피스텔,월세,5/12,1000,125,"1,000",77,39.54,북향,24.08.06.,37.575178,126.969071,인왕산 전망최고.,"['25년이내', '역세권', '화장실한개', '방한개']",202동,종로구 사직동
2437926764,광화문스페이스본(주상복합),아파트,매매,저/14,180000,0,18억,145,121.37,북향,24.08.02.,37.574313,126.969061,43.세안고 매매.시스템에어컨5.정원뷰.깔끔.관리잘된집.공동가능.,"['25년이내', '역세권', '대형평수', '방세개']",105동,종로구 사직동
2438611008,광화문스페이스본(주상복합),아파트,매매,고/14,150000,0,15억,109,91.35,동향,24.08.06.,37.574686,126.96849,인왕산 전망 좋음.,"['25년이내', '역세권', '방세개', '화장실두개']",102동,종로구 사직동
2437478347,광화문스페이스본,오피스텔,매매,5/12,41000,0,"4억 1,000",77,39.54,북향,24.07.30.,37.575158,126.968925,주택수에 포함 월세120만원받는 북향 북한상전망 상태 좋은 매물,"['25년이내', '역세권', '화장실한개', '방한개']",201동,종로구 사직동
2437614817,광화문스페이스본(주상복합),아파트,매매,중/14,205000,0,"20억 5,000",163,136.4,남향,24.07.31.,37.574651,126.969611,성곡미술관조망이 예쁜 남향집 입니다,"['25년이내', '역세권', '대형평수']",101동,종로구 사직동
2438325276,단지내상가,상가,매매,B1/1,108000,0,"10억 8,000",76,38.35,남향,24.08.05.,37.574426,126.968902,광화문랜드마크 스페이스본 하나로 마트 초입 최적입지 초특급상가,"['25년이내', '역세권', '지하층', '주차가능']",,종로구 사직동
2436413674,광화문스페이스본,오피스텔,전세,4/12,31000,0,"3억 1,000",77,39.54,북향,24.07.24.,37.575178,126.969071,북향  인왕산뷰  경복궁역 5분거리 협의입주,"['25년이내', '역세권', '방한개']",202동,종로구 사직동
2437257109,광화문스페이스본(주상복합),아파트,매매,저/14,150000,0,15억,116,97.61,북향,24.07.29.,37.574313,126.969061,세안고 매매  반듯한 구조 정원뷰,"['25년이내', '역세권', '방세개', '화장실두개']",105동,종로구 사직동
2436215771,광화문스페이스본(주상복합),아파트,매매,4/14,210000,0,21억,190,159.01,북동향,24.07.23.,37.574285,126.967997,인왕산뷰  주인거주 깨끗하고 관리잘된집  협의입주가능,"['25년이내', '역세권', '대형평수']",103동,종로구 사직동
2437612996,광화문스페이스본,오피스텔,전세,4/12,28000,0,"2억 8,000",77,39.54,북향,24.07.31.,37.575158,126.968925,인왕산전망 좋은방향의 오피스텔 전세입니다,"['25년이내', '역세권', '화장실한개']",201동,종로구 사직동
2438619358,광화문스페이스본(주상복합),아파트,전세,중/14,140000,0,14억,190,158.99,북향,24.08.06.,37.573901,126.968387,"방이크고 반듯한 구조, 집관리상태 양호합니다","['25년이내', '융자금없는', '대형평수']",104동,종로구 사직동
2436846171,광화문스페이스본(주상복합),아파트,매매,저/14,170000,0,17억,129,108.07,북동향,24.07.26.,37.574651,126.969611,올리모델링한집 입주일협의,"['25년이내', '역세권', '방세개']",101동,종로구 사직동
2437613482,단지내상가,상가,월세,B1/3,2000,160,"2,000",97,52.44,동향,24.07.31.,37.574426,126.968902,,"['25년이내', '융자금없는', '역세권', '지하층']",,종로구 사직동
2438269285,광화문스페이스본(주상복합),아파트,전세,중/14,150000,0,15억,176,146.92,서향,24.08.05.,37.574285,126.967997,"채광, 통풍, 전망 좋고 인테리어 잘되어 있는 역세권 아파트","['25년이내', '융자금없는', '역세권', '대형평수']",103동,종로구 사직동
2437406061,광화문스페이스본,오피스텔,매매,6/12,41000,0,"4억 1,000",77,39.54,북향,24.07.30.,37.575178,126.969071,북향  인왕산 멋진뷰  올수리됨,"['25년이내', '올수리', '역세권']",202동,종로구 사직동
2435682259,빌라,빌라,매매,1/3,36000,0,"3억 6,000",45,35.88,남동향,24.07.19.,37.57475,126.965712,대지 17.7P 건물 10.8P 방2개 입주협의,"['25년이상', '1층', '소형평수', '방두개']",,종로구 사직동
2435583457,광화문스페이스본,오피스텔,매매,7/12,41000,0,"4억 1,000",77,39.54,서향,24.07.19.,37.575158,126.968925,"주거용 , 입주매매 전세안고매매 조용하고 쾌적함","['25년이내', '역세권', '화장실한개']",201동,종로구 사직동
2435330380,단독,단독/다가구,매매,1/-,500000,0,50억,357,191.74,남동향,24.07.18.,37.57701,126.967624,대지면적이 넓은  주택매매,"['25년이상', '역세권', '방네개이상', '화장실네개이상']",,종로구 사직동
2436411463,광화문스페이스본(주상복합),아파트,매매,고/14,200000,0,20억,176,146.92,서향,24.07.24.,37.573901,126.968387,53타입 반듯한구조 채광좋은집  협의입주,"['25년이내', '대형평수', '방세개']",104동,종로구 사직동
2435224161,단지내상가,상가,매매,B1/1,130000,0,13억,127,127.26,남향,24.07.17.,37.574426,126.968902,즉시입주 가능. 엘리베이터 ＆ 상가화장실 가까운 넓은 상가,"['25년이내', '역세권', '지하층', '주차가능']",,종로구 사직동
2435223925,단지내상가,상가,매매,B1/1,110000,0,11억,38,38.35,,24.07.17.,37.574426,126.968902,하나로마트 바로 앞 코너 최고의 입지 수익률 좋은 상가,"['25년이내', '역세권', '지하층', '주차가능']",,종로구 사직동
2435226215,단지내상가,상가,월세,B1/1,10000,400,1억,127,127.26,남향,24.07.17.,37.574426,126.968902,즉시입주 가능 상가 엘리베이터 와 화장실 앞 큰 평수 상가 보증금조절가능,"['25년이내', '역세권', '지하층', '주차가능']",,종로구 사직동
2435043689,광화문스페이스본(주상복합),아파트,매매,5/14,215000,0,"21억 5,000",176,146.92,동향,24.07.16.,37.574285,126.967997,남향  네모반듯한 구조   채광 통풍좋은 아파트,"['25년이내', '역세권', '대형평수']",103동,종로구 사직동
2437633939,광화문스페이스본(주상복합),아파트,매매,고/13,215000,0,"21억 5,000",190,153.42,북서향,24.07.31.,37.573689,126.967813,인왕산 전망 최고.인기 구조.,"['25년이내', '대형평수', '방네개이상', '화장실두개']",106동,종로구 사직동
2436418612,단독,단독/다가구,전세,1/1,20000,0,2억,62,50,남동향,24.07.24.,37.573116,126.966316,"주차장있는 즉시입주 가능한 투룸,올수리로 깨끗","['25년이상', '올수리', '1층']",,종로구 사직동
2437394013,광화문스페이스본(주상복합),아파트,매매,중/14,155000,0,"15억 5,000",113,94.51,북향,24.07.30.,37.574651,126.969611,주인거주 인테리어된 예쁜집 중문설치 협의입주,"['25년이내', '역세권', '방세개']",101동,종로구 사직동
2437092749,광화문스페이스본(주상복합),아파트,전세,중/14,140000,0,14억,176,147.31,남향,24.07.29.,37.574313,126.969061,성곡미술관이 정원처럼 보이는 방4개구조에 광화문에서 제일좋은입지,"['25년이내', '마당', '역세권', '대형평수']",105동,종로구 사직동
2435999375,광화문스페이스본,오피스텔,매매,10/12,43000,0,"4억 3,000",77,39.54,북향,24.07.22.,37.575158,126.968925,인왕산과 북한산 사직공원이 보이는 오피스텔 입주도가능함,"['25년이내', '역세권', '화장실한개']",201동,종로구 사직동
2436015967,단지내상가,상가,월세,B1/1,5000,400,"5,000",254,127.26,남향,24.07.22.,37.574426,126.968902,현재 성업중인 하나로 마트 가 입점되어있는 성업중인  엘레베이터앞상가,"['25년이내', '융자금없는', '역세권', '지하층']",,종로구 사직동
2436015555,단지내상가,상가,매매,B1/1,130000,0,13억,254,127.26,남향,24.07.22.,37.574426,126.968902,하나로마트 출입가능한 엘레베이터앞 인테리어 깔끔하게 성업중인 상가,"['25년이내', '역세권', '지하층', '주차가능']",,종로구 사직동
2435019581,광화문스페이스본(주상복합),아파트,매매,중/14,200000,0,20억,176,146.92,서향,24.07.16.,37.574285,126.967997,인왕산조망이 나오고 평면구조좋고 수납공간많은타입,"['25년이내', '역세권', '대형평수']",103동,종로구 사직동
2435026789,광화문스페이스본(주상복합),아파트,월세,중/14,38000,450,"3억 8,000",176,146.92,동향,24.07.16.,37.574285,126.967997,반듯한 인기구조  거실확장  전세가능,"['25년이내', '융자금없는', '역세권']",103동,종로구 사직동
2435021815,빌라,빌라,매매,4/4,33000,0,"3억 3,000",71,59.99,남동향,24.07.16.,37.574417,126.965334,사직동 최저가 쓰리룸 준신축빌라 매매 입주협의,"['25년이내', '탑층', '방세개']",,종로구 사직동
2434753225,일반상가,상가,월세,1/3,2000,150,"2,000",29,29.7,남향,24.07.15.,37.574803,126.967447,깔끔하게 화이트톤으로 인테리어되어있는 인왕산 등산및 산책로 커피숍,"['25년이상', '융자금없는', '역세권', '1층']",,종로구 사직동
2433805784,광화문스페이스본(주상복합),아파트,매매,저/14,200000,0,20억,176,146.92,서향,24.07.09.,37.574285,126.967997,조용한 정원뷰 편의시설 좋은 아파트 세안고 매매,"['25년이내', '역세권', '대형평수']",103동,종로구 사직동
2434556300,일반상가,상가,월세,1/2,2000,150,"2,000",56,39,남동향,24.07.13.,37.574803,126.967447,사직공원 초입 1층상가 커피숍이나 디저트카페추천,"['25년이상', '융자금없는', '역세권', '1층']",,종로구 사직동
2435209645,광화문스페이스본(주상복합),아파트,매매,저/14,200000,0,20억,176,146.92,동향,24.07.17.,37.573901,126.968387,조용한 정원뷰  편의시설좋은 대단지 아파트  가격 조정가능,"['25년이내', '대형평수', '방세개']",104동,종로구 사직동
2434365038,광화문스페이스본(주상복합),아파트,매매,중/14,210000,0,21억,181,151.81,북서향,24.07.12.,37.573901,126.968387,55타입 채광좋은 뷰가예쁜집  경복궁역5분거리,"['25년이내', '대형평수', '방세개']",104동,종로구 사직동
2437714070,단독,단독/다가구,매매,1/-,500000,0,50억,357,191.74,남동향,24.08.01.,37.57701,126.967624,,"['25년이상', '역세권', '방네개이상', '화장실네개이상']",,종로구 사직동
2437660898,일반원룸,원룸,월세,고/3,500,40,500,15,15,북동향,24.07.31.,37.574061,126.966964,"전세로 전환 가능
즉시입주 가능한 
저렴한 원룸 임대","['25년이상', '융자금적은', '소형평수', '방한개']",,종로구 사직동
2437660721,일반원룸,원룸,전세,3/3,5000,0,"5,000",20,20,북동향,24.07.31.,37.574061,126.966964,"사직공원 앞 초저렴한 원룸 전세
반전세나 월세로 전환가능","['25년이상', '융자금없는', '소형평수', '방한개']",,종로구 사직동
2437453015,일반사무실,사무실,월세,2/3,1000,80,"1,000",33,33,남향,24.07.30.,37.574803,126.967447,경복궁역도보3분,"['25년이상', '융자금없는', '역세권', '중층']",,종로구 사직동
2437306868,광화문스페이스본(주상복합),아파트,전세,중/14,140000,0,14억,176,146.92,동향,24.07.29.,37.574285,126.967997,TOP광화문역세권 관리잘된집 귀한전세매물,"['25년이내', '역세권', '대형평수', '방네개이상']",103동,종로구 사직동
2436664624,빌라,빌라,매매,1/2,36000,0,"3억 6,000",39,35.88,남동향,24.07.25.,37.57475,126.965712,조용한 주택가 대지지분 넓은 2룸 빌라 매매 주차가능,"['25년이상', '1층', '소형평수', '방두개']",,종로구 사직동
