atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town
2438357279,단독,단독/다가구,매매,2/B1,125000,0,"12억 5,000",145,109.1,남서향,24.08.05.,37.582241,126.982084,삼청동 2종근생 한옥 급매 삼청동 문화거리 컨디션 좋은 매물,"['25년이상', '급매', '방네개이상']",,종로구 삼청동
2438018534,한옥주택,한옥주택,매매,1/-,125000,0,"12억 5,000",82,42.98,,24.08.03.,37.582241,126.982084,삼청동 2종근생 한옥 급매 삼청동 문화거리 컨디션 좋은 매물,['25년이상'],,종로구 삼청동
2437226000,일반상가,상가,월세,1/3,10000,450,1억,148,148.76,남향,24.07.29.,37.583209,126.98206,I노른자I 삼청동 감각적인 외관 통임대 상가,"['10년이내', '1층', '총3층', '남향']",,종로구 삼청동
2438952927,상가건물,건물,매매,1/-,180000,0,18억,102,52.89,,24.08.08.,37.5844,126.982401,"수익형, 리스백, 리뉴얼",[],,종로구 삼청동
2438536965,상가건물,건물,매매,1/-,130000,0,13억,82,42.98,,24.08.06.,37.582241,126.982084,삼청동 정원 있는 작은 한옥 기둥 보를 새로 하였습니다 관리상태 좋습니다,['25년이상'],,종로구 삼청동
2438578170,일반상가,상가,월세,1/3,20000,2000,2억,225,225,서향,24.08.06.,37.58404,126.982097,총리공관 인근 갤러리 까페,"['25년이상', '1층', '총3층', '서향']",,종로구 삼청동
2438633799,일반상가,상가,월세,1/3,10000,1300,1억,154,154.4,서향,24.08.06.,37.583715,126.982,l노른자l 무권리 삼청동 상가 밀집 수요 많은 매물,"['15년이내', '1층', '총3층', '서향']",,종로구 삼청동
2436879342,일반상가,상가,매매,1/3,800000,0,80억,212,212.59,서향,24.07.26.,37.582678,126.982001,o 삼청동 문화거리 및 카페거리 o 갤러리. 카페등 상권 굿.,"['25년이상', '1층', '총3층', '서향']",,종로구 삼청동
2438355763,단독,단독/다가구,매매,2/B1,175000,0,"17억 5,000",145,109.1,남서향,24.08.05.,37.583649,126.982513,삼청동 단독주택 한옥  양옥 매매 집앞까지 차량통행 가능,"['2년이내', '방네개이상', '화장실세개']",,종로구 삼청동
2438307040,기타,건물,매매,1/-,180000,0,18억,102,52.89,,24.08.05.,37.5844,126.982401,현재 고급  양식 레스토랑 운영중.,['25년이내'],,종로구 삼청동
2438336618,단독,단독/다가구,매매,2/B1,450000,0,45억,351,195.57,남향,24.08.05.,37.585618,126.984649,삼청동 대지넓은 귀한 매매 ,"['25년이상', '방네개이상', '화장실두개', '남향']",,종로구 삼청동
2436230804,일반상가,상가,월세,1/3,50000,2500,5억,61,61.62,서향,24.07.23.,37.584639,126.982311,l노른자l 삼청동 수제비 맞은편 유동인구 多 무권리 통임대 상가,"['10년이내', '1층', '총3층', '서향']",,종로구 삼청동
2437898986,빌라,빌라,매매,2/4,140000,0,14억,117,101.33,남향,24.08.02.,37.584207,126.983063,"삼청동에 위치한 모던하고, 전망좋은집","['25년이내', '방세개', '화장실두개']",,종로구 삼청동
2435861699,대,토지,매매,-,132000,0,"13억 2,000",79,0,,24.07.22.,37.582994,126.982167,삼청동 1종일반주거지역 대지24p 구옥소재함 방3.화1,[],,종로구 삼청동
2437835261,단독,단독/다가구,매매,1/-,130000,0,13억,82,42.98,남서향,24.08.01.,37.582241,126.982084,삼청동 정원 있는 작은 한옥 기둥 보를 새로 하였습니다 관리상태 좋습니다,"['25년이상', '마당', '소형평수']",,종로구 삼청동
2437679693,단독,단독/다가구,매매,1/-,140000,0,14억,190,82.6,남서향,24.08.01.,37.585187,126.983821,삼청동 단독주택 한옥 매매 감사원 인근 두가구로 출입구가 분리,"['25년이상', '방네개이상', '화장실두개']",,종로구 삼청동
2437681388,단독,단독/다가구,월세,3/-,20000,1200,2억,104,154.4,남서향,24.08.01.,37.583715,126.982,삼청동 메인대로 소형건물 통임대 삼거리 위치에 3층 건물 가시성 좋음,"['15년이내', '소형평수', '방네개이상']",,종로구 삼청동
2437588720,일반상가,상가,월세,전체층/2,25000,1700,"2억 5,000",297,221.98,서향,24.07.31.,37.582851,126.98201,삼청동 메인라인 23년도 신축 빌딩 통임대,"['2년이내', '총2층', '서향']",,종로구 삼청동
2437441798,단독,단독/다가구,매매,2/B1,176000,0,"17억 6,000",145,109.1,남서향,24.07.30.,37.583649,126.982513,뷰 좋은 단독주택,"['25년이상', '방네개이상', '화장실두개']",,종로구 삼청동
2437187090,단독,단독/다가구,매매,2/B1,176000,0,"17억 6,000",145,109.1,남서향,24.07.29.,37.583649,126.982513,전망 좋은 2층 양옥주택,"['25년이상', '방네개이상', '화장실두개']",,종로구 삼청동
2437185394,한옥주택,한옥주택,매매,1/-,140000,0,14억,190,82.65,,24.07.29.,37.585187,126.983821,대지58p 방5개 한옥체험업 추천,['25년이내'],,종로구 삼청동
2436998123,일반상가,상가,월세,1/3,20000,850,2억,137,137.49,서향,24.07.27.,37.583307,126.981978,3층 건물 통임대 까페 전시장,"['25년이상', '1층', '총3층', '서향']",,종로구 삼청동
2436973336,상가건물,건물,매매,3/B1,300000,0,30억,105,137.49,,24.07.27.,37.583307,126.981978,지하1층 지상3층 갤러리 까페 대지32p,['25년이상'],,종로구 삼청동
2436924263,상가건물,건물,월세,2/B1,20000,850,2억,105,137.49,,24.07.27.,37.583307,126.981978,삼청동 총리공관 인근 대로변 2층 상가건물 통임대,['25년이상'],,종로구 삼청동
2436819453,단독,단독/다가구,매매,2/B1,300000,0,30억,138,142.18,남서향,24.07.26.,37.585046,126.982368,전면 개방감 좋고 환상적인 루프탑뷰를 자랑하는 2층 단독주택,"['25년이상', '테라스', '방네개이상']",,종로구 삼청동
2436263744,한옥주택,한옥주택,매매,1/-,140000,0,14억,190,82.65,,24.07.23.,37.585187,126.983821,삼청동  감사원부근 두가구분리된 한옥매매,['25년이상'],,종로구 삼청동
2436201828,단독,단독/다가구,매매,2/-,280000,0,28억,228,128.92,남향,24.07.23.,37.583581,126.982698,전망 좋은 대지69p 2층 양옥,"['2년이내', '방세개', '화장실두개', '주차가능']",,종로구 삼청동
