atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town
2438412687,단독,단독/다가구,월세,3/B1,25000,2000,"2억 5,000",634,668.03,남동향,24.08.06.,37.587266,126.968717,"근생건물 사옥 또는 사무실, 갤러리도 환영","['25년이내', '융자금없는', '방네개이상']",,종로구 청운동
2438042497,단독,단독/다가구,매매,1/B1,520000,0,52억,714,111.07,남향,24.08.03.,37.589983,126.969671,청운동 북악산 인왕산 남산 최고뷰 주택 급매매,"['25년이상', '급매', '방세개']",,종로구 청운동
2437486405,연립,빌라,매매,1/3,170000,0,17억,214,176.4,남서향,24.07.30.,37.591301,126.968203,아주귀한 1복층구조 및 올수리 및 채광굿,"['25년이상', '올수리', '1층']",,종로구 청운동
2437215904,단독,단독/다가구,월세,3/B1,25000,2000,"2억 5,000",634,668.03,남동향,24.07.29.,37.587266,126.968717,근생건물 사옥 갤러리 추천,"['25년이내', '방네개이상', '화장실네개이상']",,종로구 청운동
2437200297,대형사무실,사무실,월세,3/3,25000,2000,"2억 5,000",668,668,남향,24.07.29.,37.587266,126.968717,청운동 고급근생. 통임대. 단독사용. 사옥 또는 갤러리 추천.,"['25년이내', '고층', '주차가능', '총3층']",,종로구 청운동
2438683894,빌라,빌라,전세,중/5,44000,0,"4억 4,000",74,65.59,남향,24.08.07.,37.586495,126.968488,청운초 2분 거리내 학군 좋은 위치,"['15년이내', '방세개', '화장실두개']",,종로구 청운동
2438424618,빌딩,건물,매매,4/B1,500000,0,50억,190,135.93,,24.08.06.,37.587033,126.969866,신축급 대수선 되어 아름다운 청운동 최상입지 근생건물 매매,['25년이상'],,종로구 청운동
2438042857,연립,빌라,전세,2/3,100000,0,10억,148,132.39,남서향,24.08.03.,37.591301,126.968203,,"['25년이상', '융자금없는', '화장실두개']",,종로구 청운동
2438032531,대,토지,매매,-,840000,0,84억,917,0,,24.08.03.,37.588032,126.96815,현재 나대지,[],,종로구 청운동
2438090008,빌라,빌라,전세,중/4,45000,0,"4억 5,000",86,79.14,북동향,24.08.03.,37.58659,126.969069,청운초 후문쪽의 쾌적한 주택입니다.,"['25년이내', '방세개', '화장실두개']",,종로구 청운동
2437923421,중소형사무실,사무실,월세,2/3,10000,900,1억,318,264.46,남서향,24.08.02.,37.588068,126.968828,청운동 숲속사무실,"['10년이내', '중층', '주차가능', '천장에어컨']",,종로구 청운동
2437607744,빌라,빌라,전세,3/5,45000,0,"4억 5,000",114,81.9,동향,24.07.31.,37.586162,126.970192,주차가능한 쓰리룸 전세입니다.,"['25년이상', '방세개', '화장실한개', '중층']",,종로구 청운동
2437486848,청운벽산빌리지,아파트,매매,2/3,100000,0,10억,110,83.61,남향,24.07.30.,37.591842,126.967528,전망좋은 벽산빌라 급매매 단 올수리 필요 함,"['25년이상', '올수리', '급매']",9동,종로구 청운동
2437489857,중소형사무실,사무실,월세,1/3,4080,340,"4,080",174,89.26,남향,24.07.30.,37.589274,126.96844,청운동 대로변 코너 신축 1층으로 예쁜 건물 임대,"['2년이내', '융자금없는', '1층', '주차가능']",,종로구 청운동
