atclNo,atclNm,rletTpNm,tradTpNm,flrInfo,prc,rentPrc,hanPrc,spc1,spc2,direction,atclCfmYmd,lat,lng,atclFetrDesc,tagList,bildNm,town
2439018874,단독,단독/다가구,매매,2/B1,230000,0,23억,333,248.3,남향,24.08.08.,37.614414,126.974857,평창동 단독주택 매매 내부 올리모델링완료 조용한 분위기와 정원,"['25년이상', '마당', '방네개이상', '화장실세개']",,종로구 평창동
2438837189,단독,단독/다가구,전세,1/2,240000,0,24억,671,671.01,남향,24.08.08.,37.612965,126.975489,킹스 완벽합니다,"['25년이상', '1층', '대형평수']",,종로구 평창동
2438837150,단독,단독/다가구,매매,2/B1,400000,0,40억,533,327.78,남향,24.08.08.,37.612062,126.974571,킹스 영상보유 매물대량 확보,"['25년이상', '방네개이상', '화장실두개', '주차가능']",,종로구 평창동
2438837203,단독,단독/다가구,매매,2/B1,550000,0,55억,658,370.92,남향,24.08.08.,37.615273,126.974138,킹스 영상보유 매물대량 확보,"['25년이상', '방네개이상', '화장실네개이상']",,종로구 평창동
2438886659,단독,단독/다가구,매매,1/B2,1550000,0,155억,1269,324.42,남향,24.08.08.,37.615333,126.976411,압도적 조망과 규모 평창동 최고 명당 단독주택 매매,"['25년이상', '방네개이상', '화장실세개']",,종로구 평창동
2438827146,단독,단독/다가구,매매,2/B1,450000,0,45억,767,300.39,남향,24.08.08.,37.615195,126.977954,평창동 파노라마뷰 넓은 대지 갖춘 단독주택 급매,"['25년이상', '급매', '방네개이상']",,종로구 평창동
2438837209,단독,단독/다가구,월세,1/2,60000,1600,6억,671,671.01,남향,24.08.08.,37.612965,126.975489,킹스 완벽합니다,"['25년이상', '1층', '대형평수']",,종로구 평창동
2438837152,단독,단독/다가구,매매,2/B1,390000,0,39억,595,328.34,남향,24.08.08.,37.61493,126.976045,킹스 영상보유 매물대량 확보,"['25년이상', '방네개이상', '화장실네개이상']",,종로구 평창동
2438837201,단독,단독/다가구,매매,2/B1,300000,0,30억,595,164.11,남향,24.08.08.,37.614169,126.978794,킹스 완벽합니다,"['25년이상', '방네개이상', '화장실두개']",,종로구 평창동
2439012320,단독,단독/다가구,매매,2/B1,350000,0,35억,549,275,남향,24.08.08.,37.614416,126.975778,캐나다 수입 목재로 지은 친환경 저택.층고가 높아 쾌적합니다.,"['25년이내', '방네개이상', '화장실세개', '남향']",,종로구 평창동
2438987178,엘리시아,아파트,전세,1/5,110000,0,11억,236,213.07,남향,24.08.08.,37.60971,126.975866,"숲세권, 방마다시스템에어컨, 입주청소완료","['15년이내', '1층', '대형평수', '방네개이상']",1동,종로구 평창동
2438869899,단독,단독/다가구,매매,2/B2,550000,0,55억,631,337.52,남향,24.08.08.,37.61533,126.978136,평창동 신축 단독주택 컨디션 뷰좋은 디자인하우스,"['10년이내', '방네개이상', '화장실세개']",,종로구 평창동
2438436795,단독,단독/다가구,매매,2/B1,290000,0,29억,375,196,남향,24.08.06.,37.612645,126.975686,가나아트센터초입부지 남향 동문 리모델링부지,"['25년이상', '방네개이상', '화장실두개']",,종로구 평창동
2438611268,르트랑시망,아파트,월세,2/5,1000,500,"1,000",209,138.53,남향,24.08.06.,37.610188,126.974852,평창동 가성비 최고 빌라 전세 가능 외국인렌트 가능,"['25년이내', '필로티', '대형평수']",1동,종로구 평창동
2438354004,삼성,아파트,매매,2/15,67000,0,"6억 7,000",85,59.97,남향,24.08.05.,37.61086,126.978546,"최근 내부올수리, 북악산 나무전망 조용","['25년이상', '올수리', '방세개']",101동,종로구 평창동
2438354809,삼성,아파트,매매,10/15,75000,0,"7억 5,000",85,59.97,남향,24.08.05.,37.61086,126.978546,"전망 좋은 로얄층, 최근 내부 리모델링 ","['25년이상', '방세개', '화장실한개']",101동,종로구 평창동
2438183961,단독,단독/다가구,매매,2/B1,400000,0,40억,533,327.78,남향,24.08.05.,37.612062,126.974571,평창동 화목한 해피하우스 단독주택 매일매일 여행하는 기분,"['25년이상', '방네개이상', '화장실두개']",,종로구 평창동
2438120037,연립,빌라,매매,3/3,250000,0,25억,337,204.21,남향,24.08.05.,37.612441,126.978357,평창동 최상의 타운하우스 갤러리카운티 귀한 매매 ,"['10년이내', '대형평수', '탑층']",,종로구 평창동
2438326136,단독,단독/다가구,매매,2/B1,243600,0,"24억 3,600",278,204.52,남향,24.08.05.,37.614408,126.975117,평창동 단독주택 매매 추천,"['25년이상', '방네개이상', '화장실세개', '주차가능']",,종로구 평창동
2438187796,단독,단독/다가구,전세,2/2,140000,0,14억,450,229.08,남동향,24.08.05.,37.612442,126.977418,북악정 인근 넓은 정원 마당을 보유한 올수리 단독주택,"['25년이상', '올수리', '마당']",,종로구 평창동
2438097832,단독,단독/다가구,매매,2/B1,230000,0,23억,334,248.32,남향,24.08.03.,37.614414,126.974857,평창동 단독주택 매매 내부 올리모델링완료 조용한 분위기와 예쁜 정,"['25년이상', '방네개이상', '화장실세개']",,종로구 평창동
2437950907,단독,단독/다가구,매매,2/B1,290000,0,29억,450,229.09,남동향,24.08.02.,37.612442,126.977418,북악정 인근 넓은 정원 마당을 보유한 올수리 단독주택,"['25년이상', '올수리', '마당']",,종로구 평창동
2437922456,단독,단독/다가구,매매,2/B2,215000,0,"21억 5,000",337,204.21,남향,24.08.02.,37.612441,126.978357,급매 갤러리카운티 신축급 타운하우스 내부 중정 및 컨디션 최상,"['10년이내', '급매', '화장실네개이상']",,종로구 평창동
2437888773,빌라,빌라,전세,1/5,110000,0,11억,236,213.07,남향,24.08.02.,37.609683,126.975936,내부사진 다수 올리모델링 빠른입주 가능,"['15년이내', '1층', '대형평수']",,종로구 평창동
2437761341,단독,단독/다가구,매매,2/B1,550000,0,55억,631,337.52,남향,24.08.01.,37.61533,126.978136,평창동 단독주택 매매. 우수한 입지 신축급 컨디션 화려한 조망의 고급주택,"['10년이내', '방네개이상', '화장실네개이상', '주차가능']",,종로구 평창동
2437771621,연립,빌라,매매,1/2,215000,0,"21억 5,000",337,204.21,남향,24.08.01.,37.612441,126.978357,,"['4년이내', '1층', '대형평수']",,종로구 평창동
2438954050,단독,단독/다가구,매매,2/B2,215000,0,"21억 5,000",337,204.21,남향,24.08.08.,37.612438,126.978063,1.신축2년 2.넓은2차선도로앞 3.단7세대 귀한타운하스,"['10년이내', '방세개', '화장실네개이상']",,종로구 평창동
2437496319,단독,단독/다가구,매매,2/B1,390000,0,39억,595,328.34,남향,24.07.31.,37.61493,126.976045,킹스입지 너무 좋은 평창동 초입 즉시입주 가능한 단독주택,"['25년이상', '방네개이상', '화장실네개이상']",,종로구 평창동
2437603797,대형사무실,사무실,월세,2/9,20000,400,2억,527,299.94,남동향,24.07.31.,37.609927,126.976171,끝내준다 귀한임대 평창동 위치굿 대형사무실 컨디션굿,"['25년이상', '지상층(1층제외)', '주차가능', '엘리베이터']",,종로구 평창동
2437341483,단독,단독/다가구,매매,2/B1,390000,0,39억,334,444.45,남향,24.07.30.,37.61575,126.97794,22년도 신축 뷰가 끝내주는 단독주택 보자마자 반했어요.,"['2년이내', '방네개이상', '화장실네개이상']",,종로구 평창동
2437362539,삼성,아파트,매매,10/15,70000,0,7억,85,59.97,남동향,24.07.30.,37.61086,126.978546,뷰좋은 남동향 로열층. 이사협의,"['25년이상', '방세개', '화장실한개', '중층']",101동,종로구 평창동
2437501327,단독,단독/다가구,매매,2/B1,180000,0,18억,426,321.59,남향,24.07.30.,37.614572,126.97486,킹스 영상보유 매물대량 확보,"['25년이상', '방네개이상', '화장실네개이상', '주차가능']",,종로구 평창동
2437501434,단독,단독/다가구,매매,2/B1,965000,0,"96억 5,000",638,939,남향,24.07.30.,37.615723,126.976481,킹스 영상보유 매물대량 확보,"['25년이상', '방네개이상', '화장실네개이상', '주차가능']",,종로구 평창동
2437483510,단독,단독/다가구,매매,2/B1,243600,0,"24억 3,600",278,204.52,남향,24.07.30.,37.614408,126.975117,우수한 입지에 위치한 평창동 단독주택 매매,"['25년이상', '방네개이상', '화장실세개']",,종로구 평창동
2437481295,단독,단독/다가구,매매,2/B1,230000,0,23억,334,248.32,남향,24.07.30.,37.614414,126.974857,평창동 올리모델링 단독주택 소형정원,"['25년이상', '마당', '소형평수']",,종로구 평창동
2437305882,단독,단독/다가구,매매,2/B1,300000,0,30억,354,265.35,남향,24.07.29.,37.615631,126.977818,올리모델링 최상급 컨디션 평창동 조망좋은 단독주택 매매,"['25년이내', '방네개이상', '화장실세개']",,종로구 평창동
2437142610,연립,빌라,매매,중/2,230000,0,23억,337,204.21,남향,24.07.29.,37.612441,126.978357,,"['10년이내', '대형평수', '방세개']",,종로구 평창동
2437256286,단지내상가,상가,매매,1/2,45000,0,"4억 5,000",99,84.64,북동향,24.07.29.,37.610936,126.978691,"급매, 아파트 1층 상가 방3 화1 매장 있음 진출입 편리 업종제한없음","['25년이상', '1층', '급매', '주차가능']",,종로구 평창동
2438979184,대,토지,매매,-,370000,0,37억,545,0,,24.08.08.,37.614795,126.977354,근생이 있는 토지.도로에 접한 위치 최고의 귀한 매물입니다.,[],,종로구 평창동
2438975309,대,토지,매매,-,825000,0,"82억 5,000",906,0,,24.08.08.,37.613377,126.977236,"평창동,상위 1등급입지를 자랑하는 매물, 영구 조망 위치",[],,종로구 평창동
2438972971,단독,단독/다가구,매매,2/B1,825000,0,"82억 5,000",906,271,남향,24.08.08.,37.613377,126.977236,"영구 조망 위치, 넓은 마당 등 평창동,상위 1등급입지를 자랑하는 매물","['25년이상', '마당', '방네개이상', '화장실세개']",,종로구 평창동
2438955305,단독,단독/다가구,매매,2/B1,300000,0,30억,595,164.11,남향,24.08.08.,37.614169,126.978794,33. 평창동 단독주택 통매매. 전망 및 채광 우수. 넓은 단독주택,"['25년이상', '방네개이상', '화장실두개', '주차가능']",,종로구 평창동
2438934778,단독,단독/다가구,매매,2/B1,390000,0,39억,334,444.45,남향,24.08.08.,37.61575,126.97794,"주택가높은지대, 22년도신축, 실내골프장,헬스,어린이수영장 유, 주차대","['2년이내', '방네개이상', '화장실네개이상']",,종로구 평창동
2438891055,단독,단독/다가구,매매,2/B1,750000,0,75억,833,380.36,남향,24.08.08.,37.617069,126.976009,모던 인테리어 역대급 조망과 편리한 주차가 매력 평창동 단독주택 매매,"['2년이내', '방네개이상', '화장실네개이상']",,종로구 평창동
2438864399,단독,단독/다가구,매매,2/B1,550000,0,55억,760,230.07,남향,24.08.08.,37.614605,126.979343,"평창동 단독주택 매매, 최고의 입지 최고의 전망을 자랑하는 단독주택","['25년이상', '방네개이상', '화장실세개']",,종로구 평창동
2438838813,단독,단독/다가구,매매,2/B1,520000,0,52억,731,325.84,남향,24.08.08.,37.616807,126.97611,신축급 근생주택 층별 거실과 테라스 내외관 디자인까지 매우우수,"['4년이내', '테라스', '방세개']",,종로구 평창동
2438837120,단독,단독/다가구,매매,2/B1,280000,0,28억,443,163,남향,24.08.08.,37.612415,126.977195,,"['25년이상', '방세개', '화장실두개', '주차가능']",,종로구 평창동
2438885000,연립,빌라,전세,고/2,360000,0,36억,-,232.2,동향,24.08.08.,37.61285,126.977186,,"['2년이내', '방네개이상', '화장실네개이상']",,종로구 평창동
2438837162,단독,단독/다가구,매매,2/B1,550000,0,55억,585,357,남향,24.08.08.,37.615941,126.974449,킹스 영상보유 매물대량 확보,"['25년이내', '방네개이상', '화장실네개이상']",,종로구 평창동
2438953823,단독,단독/다가구,매매,2/B1,550000,0,55억,658,370.92,남향,24.08.08.,37.615273,126.974138,33.평창동 단독주택 통매매. 전망 및 채광 좋은 집.단독정원,"['25년이상', '마당', '방네개이상', '화장실네개이상']",,종로구 평창동
2438040986,롯데낙천대,아파트,매매,저/12,105000,0,"10억 5,000",111,84.21,동향,24.08.03.,37.609392,126.975486,"아늑한 나무전망, 조용하며 최근 내부 올수리","['25년이내', '올수리', '방세개']",102동,종로구 평창동
2438890474,단독,단독/다가구,매매,2/B1,680000,0,68억,982,674.54,남향,24.08.08.,37.615989,126.979036,평창동 아름다운 조망이 매력적인 대저택 매매 월세,"['4년이내', '방네개이상', '화장실네개이상']",,종로구 평창동
2438836140,단독,단독/다가구,매매,2/B1,320000,0,32억,497,217.52,남향,24.08.08.,37.614256,126.978181,킹스 연못이 있는 정원과 마주하는 소나무 뷰 멋진 단독주택이에요,"['25년이상', '마당', '방네개이상']",,종로구 평창동
2438827326,단독,단독/다가구,매매,2/B1,350000,0,35억,364,293.57,남향,24.08.08.,37.614117,126.979059,엘베있어 편리한 신축 평창동 단독주택 매매 좋은 가격,"['2년이내', '방네개이상', '화장실네개이상']",,종로구 평창동
2438636666,대,토지,매매,-,280000,0,28억,522,0,,24.08.07.,37.612619,126.977104,가나아트센터 인근 문화예술거리 인접 나대지 상태 매매,[],,종로구 평창동
2438748906,단독,단독/다가구,매매,2/B1,350000,0,35억,364,293.57,남향,24.08.07.,37.614117,126.979059,신축 단독 즉시입주,"['2년이내', '방네개이상', '화장실네개이상']",,종로구 평창동
2437043681,단지내상가,상가,월세,1/2,3000,150,"3,000",99,84.64,북동향,24.07.27.,37.610936,126.978691,대로변 무권리 안에 주택있음 방3 화1 전입가능,"['25년이상', '1층', '관리비10만원이하', '주차가능']",,종로구 평창동
2437041216,단지내상가,상가,매매,1/2,45000,0,"4억 5,000",99,84.6,북동향,24.07.27.,37.610936,126.978691,아파트 1층 상가 방3 화1 매장 있음 진출입.주차 편리 업종제한없음,"['25년이상', '1층', '관리비10만원이하', '주차가능']",,종로구 평창동
2438619726,삼성,아파트,매매,4/15,88000,0,"8억 8,000",108,84.93,남향,24.08.06.,37.611197,126.978949,전망 채광 좋은 남향이며 모던하게 올수리 했어요,"['25년이상', '올수리', '방세개']",102동,종로구 평창동
2438625487,단독,단독/다가구,매매,2/B1,250000,0,25억,370,165.05,남서향,24.08.06.,37.612615,126.979268,지대 높지 않지만 전망 좋은 쾌적한 평창 단독주택,"['25년이상', '방네개이상', '화장실세개']",,종로구 평창동
2438594237,빌라,빌라,매매,중/2,477000,0,"47억 7,000",419,232.36,남향,24.08.06.,37.61285,126.977186,평창동 고급타운하우스 더가든테라스 신축 내외관 하이엔드 마감자재수준,"['2년이내', '테라스', '대형평수', '방세개']",,종로구 평창동
2438425726,연립,빌라,매매,2/2,367000,0,"36억 7,000",336,195.8,동향,24.08.06.,37.61285,126.977186,평창동 루프탑 정원 테라스의 환상적 조망 단독주택형 고급빌라 매매,"['2년이내', '테라스', '마당']",,종로구 평창동
2438586401,단독,단독/다가구,매매,2/B1,550000,0,55억,760,230.07,남향,24.08.06.,37.614605,126.979343,"평창동 단독주택 매매, 최고의 입지와 전망을 자랑하는 단독주택 올리모델링","['25년이상', '방네개이상', '화장실세개']",,종로구 평창동
2438523103,빌라,빌라,매매,중/2,477000,0,"47억 7,000",438,232.36,남동향,24.08.06.,37.61285,126.977186,전월세O 평창동 신축 프라이빗한 트리플 복층,"['2년이내', '화장실세개', '대형평수']",,종로구 평창동
2438505794,단독,단독/다가구,매매,2/B2,730000,0,73억,628,312,남향,24.08.06.,37.615854,126.98018,LX 주인직접 산의 기운과 폭포를 아우르는 초특급 매물,"['25년이상', '급매', '방네개이상']",,종로구 평창동
2438420659,연립,빌라,매매,2/2,489000,0,"48억 9,000",473,246.5,동향,24.08.06.,37.61285,126.977186,평창동 신축 더가든테라스 매력적인 단독정원 있는 고급주택 매매 전세,"['2년이내', '테라스', '마당']",,종로구 평창동
2438561986,단독,단독/다가구,매매,2/B1,850000,0,85억,871,352.39,남향,24.08.06.,37.613969,126.977901,"평창동 최고의 입지, 관리 잘된 정원 단독주택 매매","['25년이내', '마당', '방네개이상']",,종로구 평창동
2438425093,연립,빌라,전세,2/2,360000,0,36억,473,246.5,동향,24.08.06.,37.61285,126.977186,평창동 가든테라스 116 매력적인 단독정원 있는 고급주택 매매 전세,"['2년이내', '테라스', '마당']",,종로구 평창동
2436841144,단독,단독/다가구,매매,2/B1,290000,0,29억,375,196.53,남서향,24.07.26.,37.612645,126.975686,주인직접. 대지 113. 평창동 단독주택 매매,"['25년이상', '방네개이상', '화장실세개', '주차가능']",,종로구 평창동
